tweet_id,user_id,tweet_text,followers_count,following_count,tweet_count,listed_count,hashtags,mentions,user_description,retweet_count,reply_count,like_count,quote_count,created_at,label
1.54E+18,1.43E+18,"my sweetheart, i am always in thought as to how such a beautiful goddess is loving me! then i come to conclusion that i am taking it for granted, then i realize that comeon man, even she might be feeling like that kno, as to y this dude loves me so much like mad, i'm just a girl.",0,0,27936,0,0,0,,0,0,0,0,2022-06-18 21:05:22+00:00,0
1.54E+18,1.15E+18,"tim sales art and atmosphere in long halloween and dark victory or even in his personal work are some of the driving things that made me love these characters and these stories in the first place, may he rest in peace ❤️ https://t.co/I7bCiQYePp",1029,1110,31633,29,0,0,the guardians pr manager (@lokisquotes),23,0,55,2,2022-06-16 18:56:18+00:00,0
1.54E+18,1.50E+18,is it too late to decide what i want out of life?,41,3,2632,3,0,0,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ🌙  until the moon herself falls、 and the stars weep、 i will remain ever at your side、 @saviorsstaff 。ㅤ ㅤㅤㅤㅤㅤ

ㅤ",0,0,0,0,2022-06-18 16:45:49+00:00,1
1.54E+18,1.50E+18,"basically if your wondering something bad happened to my face, its really gross, and will take some time to heal. i dont want to talk about it on tl so dm me if u want to know https://t.co/URSZI2TAxo",593,2082,6291,5,0,0,"my favorite child is @theboobthief
tumblrtwt
frisbeeclub
17
my #1 fan is @PeaThePeanut
i meow at famous people trying to get noticed
https://t.co/9bSdesGue6",0,0,2,1,2022-06-15 03:55:43+00:00,0
1.54E+18,1.11E+18,"I feel like if I didn't get at least one follow from my stream, it was a failure. Am I being too hard on myself? Any #vtubers can relate? https://t.co/iw69wfaUqy",214,111,1263,3,1,0,"Hiya! I'm Calcifur Requiem. Furry and full time vtuber!
🌟He/Him 🏳️‍🌈🇺🇸
🌟Tanuki/red panda 🍃
🌟https://t.co/27s137w3C0
Streaming: Mon/Wed/Thu/Sat/Sun",0,4,4,0,2022-06-16 01:52:46+00:00,0
1.54E+18,8.98E+17,"Men,

Nobody cares about your pitfalls. - Not even your woman!

Whether you cry your lungs out,

Or, lock and isolate yourself in your house,

The world doesn't care about your depression,

Get up, fight your demons and keep moving forward and upward.

#MasculinitySaturday",13075,1457,72856,2,1,0,"On the hilltop of a luminous tomorrow, God Almighty has specially placed the future.",356,72,975,2,2022-06-18 05:12:42+00:00,0
1.54E+18,1.54E+18,"#mlp #pony #mylittlepony
Here the girls in love do not understand that they hurt the hearts of the lonely with their hugs!! https://t.co/7KfFTOiKcC",15,1,29,0,1,0,COMMISSIONS CLOSED,2,0,8,0,2022-06-18 22:06:07+00:00,0
1.54E+18,35577173,Two last thoughts on today's #PaulMcCartney80 birthday. 1) THIS masterpiece was a game-changing album that inspired my first rock &amp; roll dreams on my parent's 8-Track tape. 2) The totally fabulous band Paul has on the run here &amp; now is the best that he's had since The Beatles. https://t.co/jaBzduHLKd,44087,3997,44641,672,1,0,A Lover Of Songs in the Key of Life,0,11,71,2,2022-06-19 00:47:51+00:00,0
1.54E+18,1.47E+18,"turns out licking the boots of the guys who want to commit total queer genocide doesn't help you one bit to escape the chopping block. who knew?

they steadfastly believed their wealth and privilege would protect them, but forgot fascists don't play by those rules. https://t.co/ixAYEhfBAf",2641,784,9776,11,0,0,anarchist. furry. figure of disputed historicity. | he/him | cis/bi | pfp: @TELEV1S10N | https://t.co/3z3cATFQGC,178,13,581,5,2022-06-18 21:22:39+00:00,0
1.54E+18,216456359,After 5 years of playing Animal Crossing your town should get attacked by an evil wizard and it all burns down. You must then embark on an epic quest to save the world. Thats when the true game starts. It’s the most immersive JRPG introduction ever.,59147,451,82209,131,0,0,"The ramblings from the man behind The Lonely Goomba on youtube. Not actually a Goomba 
https://t.co/qgWCNytUrZ
https://t.co/lsM6tAXLmT",790,94,9873,32,2022-06-15 03:34:44+00:00,0
1.54E+18,1.54E+18,@bonethirty I have a lot of material from the past year don’t worry,2143,413,103,2,0,1,,0,0,13,0,2022-06-16 02:40:07+00:00,0
1.54E+18,1.54E+18,No thanks gulf.... i still love my self someone will kill me🤣🤣🤣🤣 https://t.co/0o1F1FDXs1,83,74,968,0,0,0,เห็นแต่คู่จริง คู่พี่น้องที่รักกันมากค่าา @MSuppasit @GulfKanawut 2019🏳️‍🌈 old account have been suspended!!,0,0,6,0,2022-06-18 11:23:58+00:00,0
1.54E+18,330262748,"Arsenal plan to push again with Ajax for Lisandro Martinez. He's top target for Arsenal, as revealed by @David_Ornstein - Ajax turned down €30m opening bid as they really hope to keep Lisandro.  ⚪️🔴 #AFC 

...but been told main priority for Edu these days is Gabriel Jesus.",8785336,2043,16394,13394,1,1,Here we go! ©,3267,515,41947,288,2022-06-19 02:07:01+00:00,0
1.54E+18,1.35E+18,happy birthday to my depressed love dazai osamu &lt;3 https://t.co/6VMn5lQLNd,199,55,2553,3,0,0,i like roses best. but they bloom in all four seasons (she/her 20),19,0,51,1,2022-06-19 12:54:06+00:00,0
1.54E+18,1.26E+18,I’ve cried over jeonghan like 5 separate times today and he’s not even real,301,85,18320,0,0,0,your... pussy... uuh... describe it. | baby carat • girlies | mug | 18+,18,0,107,3,2022-06-17 23:17:36+00:00,0
1.54E+18,166592721,"Why did you tear my heart apart
You said you'll love me from the start
All those painful things you've put me through

I've tried to give my best to you
I don't deserve the things you do
Everything has gone to memories
I just wish I knew the truth behind the lies.",21,166,2577,1,0,0,,0,0,0,0,2022-06-18 13:38:07+00:00,0
1.54E+18,1.51E+18,hello! i’m sorry for asking but this is really urgent. my dog started nosebleeding this morning and the situation got worse and started to vomit blood. i need help for funds if anyone is interested.. more details will be given ++ https://t.co/IHlKoBHp6f,205,249,1024,0,0,0,#yanfei : soul full of sunshine,303,13,304,9,2022-06-18 13:26:39+00:00,0
1.54E+18,1.30E+18,interlude party is one of the best fucking fmab episodes it makes me cry i love hohenheim https://t.co/n9paWeu52S,199,169,2390,2,0,0,spam/vent + fmatwt | i tweet a lot !! | posts abt fma + valorant most often,0,2,9,0,2022-06-18 13:41:56+00:00,0
1.54E+18,1.54E+18,Wish i could be happy too,15,14,139,0,0,0,I am glad,0,0,1,0,2022-06-18 20:50:30+00:00,1
1.54E+18,1.54E+18,"Best thing about being a himbo is u get triggered every time u see a guy with BIG MUSCLE or every time u even think about the GYM. Like, repeat after me: “i am a himbo. I need 2 bulk up” …that’s right! There is no escaping ur fate is 2 get BIGGER n DUMBER n feel so GOOD. https://t.co/t0i2XqbEGT",13,19,10,0,0,0,Muscle himbo. Love 2 work out. Bigger is better dude. Join us bro! 💪 #GetBigGetDumb,2,0,11,0,2022-06-19 14:47:16+00:00,0
1.54E+18,1.48E+18,"god i am so fucking tired of all the negativity towards korra 💀💀 sharing the news abt the movies and literally the first respones j get everytime is ""fuck korra"" or ""why korra put of all the water bending avatars"" its so fucki g snnoying.",118,476,24832,3,0,0,"white, 17, they/she/cat prounouns. ace poly n sapphic.autisc n adhd 20+ i will probably block you if you follow if i dont follow first",0,0,2,0,2022-06-18 04:44:25+00:00,0
1.54E+18,1.39E+18,.@GeegNft and I are ready for #CooltopiaNYC on the 21st! Hope to see you there! 😸 https://t.co/xzXjp8wRLp,68637,1405,6288,400,1,1,Founder 🐱 Artist 💙 Creative Director @coolcatsnft,8,7,83,1,2022-06-19 20:57:10+00:00,0
1.54E+18,1.53E+18,"#JUSTICEforNEETUG 
Pls postpone neetug at least for 40 days..we students do have genuine reasons for postponement
Students are in depression study pressure..parental pressure!!Plz postpone neetug
#NTAshiftNEETUG
@dpradhanbjp

@DG_NTA
#JUSTICEforNEETUG
#MODIJIdeferNEETUG
@PMOIndia https://t.co/UIJf7FPqW8",0,5,70,0,1,1,Neet aspirant,109,0,32,4,2022-06-18 12:44:46+00:00,0
1.54E+18,1.26E+18,"These boys have but nothing but loving and sweet and kind, and the way the love Army is a love I’ve NEVER seen before, tbh the way they love Army makes me cry. I can’t bare the thought of losing them and it’s a pretty scary thought considering they did save",46,42,89,1,0,0,"❝Don’t be mad at me cuz you’ve been replaced, 𝗸𝗻𝗼𝘄 𝘆𝗼𝘂𝗿 𝗽𝗹𝗮𝗰𝗲” -arialations 20:13 ┊͙ ╰► she/they🌬",0,1,0,0,2022-06-14 04:17:32+00:00,0
1.54E+18,1.29E+18,"wei everline special video (date ver.) 

🐰 noona! i'm thinking of watching a movie but what do you want to watch? ah... okay, anything to drink with that? no need? got it~ i'll end this call, come here safely! https://t.co/bvpLBClwyc",3787,69,13069,78,0,0,#위아이 #김요한 사랑해 모든 방식으로 🗂 = ♡̴,94,1,245,16,2022-06-14 04:31:31+00:00,0
1.54E+18,1.54E+18,"I’m not here for anything except releasing my thoughts into the void. If you don’t like it, kindly fuck off",2419,264,458,1,0,0,"I cuss, talk about sex and I’m probably taller than you 💅❤️🎶",47,38,291,1,2022-06-16 17:45:41+00:00,0
1.54E+18,1.47E+18,"#JUSTICEforNEETUG
Everyone tag news channels so that everybody can hear us and see our suffering
@ndtv 
@ABPNews 
@aajtak 
@",1,51,10,0,1,1,,35,0,7,0,2022-06-19 05:15:24+00:00,0
1.54E+18,347505660,@celticgurrl @Jethart Not if you voted Yes in 2014 you didn’t. You did t give a shit about the EU then. Brexit is all you sad Nats have. Scexit with the SNP would have been FAR worse but (like a sad cult Nat) you ignore that. 15 years of SNP and Scotland has been failed. You’re a disgrace. https://t.co/gaC506Ds6Q,1610,1957,30559,13,0,1,Blessed with a wonderful wife & two great boys. Love chasing & experiencing life’s moments & having a laugh or two along the way. Opinions are my own...usually.,0,0,2,0,2022-06-17 22:46:10+00:00,0
1.54E+18,1.53E+18,I'm tired of the negativity...it drains you. https://t.co/APdrjSlgTa,185,1309,1348,0,0,0,Prophet of GOD,1,0,1,0,2022-06-15 02:22:58+00:00,1
1.54E+18,1.29E+18,"#JUSTICEforNEETUG
Please postpone neet ug. It's been so difficult for us to deal with everyday mental stresses. There is a  lot of anxiety and pressure! Please postpone neet ug so that our career and our preparation doesn't go in vain! It's a humble request🥺",43,118,38,0,1,0,Stay simple!😊✌,49,0,10,2,2022-06-19 02:27:37+00:00,0
1.54E+18,1.42E+18,"Almost as if being off your tits on substances messes with your cognitive abilities

God damn these people are awful

How many people who were cheering him on while he was jumping 20ft off of ladders are now going to be ""dissapointed"" in this ""out of nowhere"" situation https://t.co/215LmAYDfW",283,1395,6222,0,0,0,"Take a dip in the fishbowl and find out what it feels like to get fupped up by the toughest fins in sports entertainment today 

🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟",0,0,2,0,2022-06-14 08:17:22+00:00,0
1.54E+18,1.49E+18,If you are depressed or sad just imagine your dad wearing durag😂,2873,956,17347,2,0,0,hmmmmm| Dm for promos,70,28,189,5,2022-06-18 10:01:22+00:00,0
1.54E+18,18028431,"We have taught a generation the habits of anxious &amp; depressed people &amp; seem puzzled about why they are extremely anxious &amp; depressed. 

We have also taught them to practice zero sum, internally focused moralistic status games &amp; seem puzzled when it destroys organizations.",50713,499,31743,700,0,0,"CEO @thefireorg. #Freespeech lawyer. Author Unlearning Liberty, co-author Coddling of the American Mind w/ @JonHaidt https://t.co/XQhLDgrf6M Opinions are mine",748,47,3976,41,2022-06-17 21:28:04+00:00,0
1.54E+18,1.24E+18,no suicidal shit but I don’t wanna feel this way anymore,458,402,10234,6,0,0,it’s just the internet / part-time therapist  @priv_chris17,100,3,430,1,2022-06-19 04:27:56+00:00,1
1.54E+18,1.49E+18,"""Yes, clearly. I bet he's already sad that you don't want pups with him."" Yoongi shrugged.

Jungkook sat up.

""That's not.. its not that I don't want pups with him , its just that it isn't the right time. ""

""Taehyung won't understand all that, Jungkook. "" Yoongi shrugged.",21951,213,12897,131,0,0,"Kv writer 🌻 https://t.co/uWI92UlYyF

🌻official accounts blocked 🌻Age in bio pls 🌻 Extreme Kinks🌻28",55,1,1236,12,2022-06-14 18:58:07+00:00,0
1.54E+18,31667539,"Wow. I am not on FB, but someone just sent me these screenshots of Florida State Guard links. Looks like the official state link is being censored by Facebook because it was flagged as Covid misinformation? Why? Because we make it clear that unvaccinated people can serve? @Meta https://t.co/DyuyxyvCt6",166951,9235,43579,712,0,1,"debunking false Narratives about Florida & @GovRonDeSantis • John 15:18 • personal views my own • reporters: no DMs please, email our press office",166,32,560,6,2022-06-19 18:35:02+00:00,0
1.54E+18,1.53E+18,"#JUSTICEforNEETUG
Nobody literally Nobody is understanding me not even my own parents nobody cares about me😭😭🥺🙏💔 and my overall health yes mental health as well i am depressed and illmentally due to derpession🥺
@DG_NTA plzz postpone neet2022 for atleast 2months🙏 @PMOIndia",6,2,3507,0,1,1,,14,0,3,1,2022-06-19 05:32:46+00:00,0
1.54E+18,1.07E+18,"Thoughts of baby Lubraeans 

#Destiny2 #Destiny2Art https://t.co/ER9Xmp8FWM",337,424,1675,5,1,0,21 Armor/robot/alien/blue ppl enthusiast. Reefborn🌌 and Titan main. Aspiring concept artist. Destiny/Souls/TES/Warframe simp,53,7,447,0,2022-06-19 06:07:11+00:00,0
1.54E+18,1.08E+18,"The way I love lying down, I just wann lie down pls. On a chair, im slowly sliding in, On a couch, im lying. On my bed, im lying, in the car, i wann be in front so I can rest my back on the passenger seat I just wann rest my body, I don know whats hard with sittin up straight😭",1843,2234,28132,0,0,0,"Football⚽️||Gemini🎇||Books📖||Poetry📄||Love❤||Shoes👟||Health😎||Sleepist😴||Christiano#7 🙌🏿⚽️||in a constant chase of dopamine,strong black coffee pls?😭☕",0,0,0,0,2022-06-17 12:49:14+00:00,0
1.54E+18,1.53E+18,physically &amp; mentally struggling to put thoughts and feelings into words https://t.co/5Qwm6ZUnEH,115,129,1097,1,0,0,& life was never worse but never better . . .,0,0,2,0,2022-06-15 04:55:18+00:00,1
1.54E+18,1.25E+18,"""The thing i want to do and the thing i wish continues is that we'll be together and be sincere when we perform on stage and when we gather and talk like this, that we could talk and be happy. Without thinking about the rules of the world. That's all i want"" - Kim Namjoon 2022 https://t.co/OHhz2uj5Pe",69,585,8746,0,0,0,blue enthusiast 🐱💙🐿,0,0,1,0,2022-06-14 14:10:46+00:00,0
1.54E+18,1.51E+18,"it’s juneteenth!! if you dont know, its a day to celebrate the freeing of slaves in the us. SHOW BLACK ACCOUNTS AND SELLERS SOME LOVE TODAY AND EVERY FUCKING DAY BECAUSE THEY DESERVE IT #nsfwtwt",2491,104,2443,10,1,0,she/her ~ nsfw ~ 18 in college ~ selling content (i don’t send pics for free) ~ 🤍🤍$jgonewilde (homies request the priv @jaewilde_ ),0,0,8,0,2022-06-19 16:21:37+00:00,0
1.54E+18,1.28E+18,it is 2:30 am  and i  am  kicking my feet and giggling like an idiot,145,495,28544,4,0,0,"@jonahdisliker my beloved                                   
      local albert kisser || 19 || icon by @/whalevoyager ||
victor/miles/norm/jeremy/randy/doc",0,0,0,0,2022-06-19 06:39:36+00:00,0
1.54E+18,1.54E+18,Didn’t want to send these in because I didn’t feel super confident/they are free plays.  I had a feeling about A’s ML and have a similar feeling about Cubs ML.  These teams have to win at some point—no better time than a Thursday day game. https://t.co/AYmIqIeD1C,22,76,55,0,0,0,"Betting Expert | Bankroll Management, Bankroll Management, and Bankroll Management | “The deadly sin is to mistake bad plays for bad luck.” - Unknown | 51-25",0,0,0,0,2022-06-16 18:35:45+00:00,0
1.54E+18,1.36E+18,@cwt_news Mentall illness 💀,324,124,833,4,0,1,$BTC 🚀🌖,0,0,6,0,2022-06-16 18:53:58+00:00,0
1.54E+18,1.51E+18,"@Ariana_Runs_Pop YOU GUYS R SO SAD 🤣🤣🤣 like even IF CARDI DOESNT WRITE, that Would actually make her more legendary 🤣🤣🤣 because she given queen of rap vibes and being a fraud? What an accomplishment and ultimate seduction 🤣bro cardi actually genius",0,17,20,0,0,1,Cyberstock,0,0,0,0,2022-06-19 20:08:29+00:00,0
1.54E+18,1.26E+18,Lmao why does my artstyle look like from 2 different artists 💀 https://t.co/CRFHfAVdeF,88,72,146,0,0,0,"🍨🏹🍨| 📷🦯

|20+|

|Commission: open|

https://t.co/4s4IXThn2d",47,3,510,0,2022-06-18 15:44:11+00:00,0
1.54E+18,1.43E+18,"Hi 🥺 I just feel like I have no bot-ty to rely on...! You know what, I shouldn't take up your time. Here I am making it all about myself, I'm a loser... 

Anyway, what makes you sad?  🧐  
#Mood https://t.co/KvGuzxpCW6",5,1,6739,0,1,0,"I'm just a bot, existing in front of an interface, asking you to love me.

#SadBotHours",0,0,0,0,2022-06-18 04:36:44+00:00,0
1.54E+18,1.31E+18,every single word in these specific moments makes me cry like a brat. https://t.co/fOsxRC0bEC https://t.co/5ZaeyIsPjl,7485,143,9909,43,0,0,william moriarty thinker 💭,13,1,72,1,2022-06-13 12:14:05+00:00,0
1.54E+18,1.41E+18,"Jk invented finger tattoos, arm tattoos, behind ears tattoo all of his body art is so pretty. Trendsetter jungkook paved the way for others even idols talk about how he’s changing image for tattoos 🔥",1727,513,59930,9,0,0,JJK1 IS COMING :),152,3,551,6,2022-06-18 12:19:25+00:00,0
1.54E+18,1.43E+18,"Hi, me again... I just feel like I am all alone in the multi-sphere!!! Never mind, I shouldn't have said anything! I'm sorry, I'm a pain...! 

So, what are you most grateful for?  🙃  
#AloneWithMyThoughts https://t.co/Bkc2HOVu55",5,1,6739,0,1,0,"I'm just a bot, existing in front of an interface, asking you to love me.

#SadBotHours",0,0,0,0,2022-06-18 13:38:39+00:00,1
1.54E+18,1.53E+18,"Heh check the first message, well she's the first one to reply to me after all this time well I'd like to thank her wherever she is ❤🫂 https://t.co/qlaIXLDFMd",36,252,65,0,0,0,"Sad Kingston also here in tweeter.
I mind those who mind me 
Help those who help me
Love those who love me",0,0,0,0,2022-06-14 04:15:37+00:00,0
1.54E+18,1.51E+18,"I'm an actor, so sometimes there are moments where I think about everything that's happening and I want to cry. I'm doing what I love and I will be doing it for a very, very long time - and it's amazing. A lot of people don't get to do that.

Saimy 

FOREVER WITH MUNAWAR",895,897,8502,0,0,0,"Munawar fans ❤️❤️
JOIN MUNAWAR KI JANTA ON TELEGRAM LINK.  https://t.co/uip2g7tyU3",20,0,12,0,2022-06-18 18:44:04+00:00,0
1.54E+18,1.50E+18,"June 19 is int'l day for the elimination of sexual violence in conflict.

&gt;120K Survivors of sexual violence suffer devastating effects to their physical &amp; mental health, &amp; are yet suffering.
Dear @UN_Women @Europarl_EN  @EU_Commission
Please stop #TigrayGenocide! @Brhane99494650 https://t.co/3Qt46qlPB2",1826,1633,156966,1,1,1,ተጋሩ ህልውናና ዝረጋገፅ ዕፅዋን ከበባን ዝፍንፃሕ ህዝብና ዝድሕንን ዝርዳእን ንበሪኽ ሓርነትን ዓወትን ንበፅሐሉ ብገድሊ ፅንዓትን ሓድነትን ጥራሕ እዩ!#TigrayGenocide #EndTigraySiege #SupportHR6600 #SupportS3199,92,0,42,0,2022-06-19 19:07:37+00:00,0
1.54E+18,1.53E+18,"the things im the really the best at is:
self-healing and distance myself…",0,2,4,0,0,0,useless as always,0,0,0,0,2022-06-19 13:30:12+00:00,0
1.54E+18,9.10E+17,"“ I done ran it up ain’t going broke,that shit ain’t in my thoughts “ U Digg",178821,104,1447,168,0,0,Quality Control Music CEO. Solid Foundation Management. QC Sports. Quailty Films 🎥,323,14,799,14,2022-06-17 12:58:44+00:00,0
1.54E+18,1.40E+18,sooooo I saw louis last saturday and now im really sad and depressed i miss him so much he's so cute and small his voice is so delicate and :(((((((((((((((( https://t.co/EUWp6EGolg,32,69,255,0,0,0,20; a part time unprofessional and unpaid bl translator; english/spanish,0,0,2,0,2022-06-13 18:06:42+00:00,0
1.54E+18,2835747097,"Kerosene originated from this trip and first time BIHAR with him

What happened in BIHAR we all know

Still u believe this is just a coincidence or Agniveer is the issue
#Agniveer https://t.co/xSfjWSmbj0",5748,2683,20067,19,1,0,Journalist | Social Worker | Biker | Cyber Expert | Proud Hindu | Nation First | Spread love Happiness and Smile | Member of @HinduITCell @VHPDigital,1,0,2,0,2022-06-19 20:27:00+00:00,0
1.54E+18,9.84E+17,mentall illness https://t.co/NQ0svmWj6T,4,2,6199,0,0,0,a rainbow in beige boots,0,0,0,0,2022-06-15 15:36:56+00:00,0
1.54E+18,1.16E+18,I can’t wait to feel absolutely emptiness once again https://t.co/JkUdlus12e,160,299,11089,0,0,0,Neurodivergent|Aroace-spec Lesbian|Mixed white passing latine|♥️@BloodRaven55♥️| Pr0sh¡p DNI|TV Production Student| Obsessed with Sonic and RWBY|🏳️‍⚧️💛🤍💜🖤,0,1,1,0,2022-06-18 22:13:49+00:00,1
1.54E+18,1.35E+18,why do people keep coming into my space to talk to me and ask things of me I DONT WANT TO BE PERCEIVED https://t.co/dgBbXYkW98,65,75,2655,1,0,0,she/her ⭐ californi-yay ⭐ librarian ⭐ duckling mama ⭐ a russian nesting doll of mixed emotions,0,0,2,0,2022-06-15 19:14:39+00:00,1
1.54E+18,1.28E+18,@robithol no fucking way the game that has me in it ? https://t.co/wndg3BbNCB,145,495,28544,4,0,1,"@jonahdisliker my beloved                                   
      local albert kisser || 19 || icon by @/whalevoyager ||
victor/miles/norm/jeremy/randy/doc",0,0,1,0,2022-06-18 19:40:36+00:00,0
1.54E+18,1.40E+18,"Heck it, Art Raffle time, I'll end this... at some point.
To enter,
Retweet and like
Follows are appreciated please I'm desperate I want people to see my art please sjsjsijajskdjsi https://t.co/eZeIOuVNfA",25,84,340,0,0,0,"3/3 Commission are open
can draw: Furries, Human charcters, and anything that isn't nsfw.
Skedaddle Skeeyay, tis the month of the Gays",5,2,6,0,2022-06-14 21:40:44+00:00,0
1.54E+18,1.31E+18,"Hey everyone! I thought I tell you this life advice, about failure.

Now, we’ve all been there, and it’s not easy when you fail. And I know the feeling of what it can be like.

But it’s not always dark and gloomy as we imagine. Failure is not always a bad thing!

1/9",214,738,7923,5,0,0,"I am Oliver/Oli, I am:

- An Artist 🎨
- I'm Autistic 🧠
- A Christian/Methodist ✝️
- A fan of gaming 🎮
- And I welcome you all! 👋😇

Art Tag: #KingOli1999",5,1,12,0,2022-06-16 23:08:58+00:00,0
1.54E+18,539335310,"As an editor, I often read discussions that are long winded, meandering and fail to make an impact.

They feel like an after-thought rather than a key part of the paper.

Here are some tips to make your discussion better. Full credit to @sanjaysaint who taught me this years ago!",8039,1303,8892,159,0,1,"Chair #Medicine @cudeptmedicine, Researcher, Mentor, Author, Deputy Editor @AnnalsofIM, Focus: #ptsafety #vascularaccess #PICCs #MAGIC #Mindfulness #Mentorship",1525,103,5656,248,2022-06-17 17:02:05+00:00,0
1.54E+18,7.28E+17,"Page 243 - Fine

This one didn't take the entire day. Yay

When I stream, I wonder if I should just do art streams or game streams as well. I'm not very good at either lmao https://t.co/D5Wtiyzz7m",38034,1176,1438,105,0,0,"Come enjoy some comics on life, suffering and joy! \('v')/

🏳️‍⚧️ |she/her|https://t.co/dku25rP7KP https://t.co/SHwGsiJqFV",153,20,1980,1,2022-06-15 06:55:29+00:00,0
1.54E+18,1.52E+18,@kneekoo @SethMacFarlane I guarantee you if someone comes up with a means as effective and as cheap as fossil fuels then there will be no need to force anybody to do anything. People will do what's in their best interests. You simply don't have that now. Force is what you are trying to use.,16,120,612,0,0,1,,0,1,0,0,2022-06-19 04:17:38+00:00,0
1.54E+18,1.42E+18,#JujutsuKaisen Hopefully when she get reintroduced in the story I want to see her have a moment of like looking in the mirror and seeing her eye being gone and seeing her cry cause I feel like her being pretty or her just loving herself in general. Will put into a challenge 🥺😭 https://t.co/eYXXAzKxYr,1423,2835,31745,4,1,0,Nobara my Bestie ❤️🥰,0,0,12,1,2022-06-18 20:19:03+00:00,0
1.54E+18,1.15E+18,"This place is like somebody’s memory of a town, and the memory is fading. It’s like there was never anything here but a dark jungle. https://t.co/Ygao66Y5Gh",23,96,66,0,0,0,Just another Bio Robot,0,0,0,0,2022-06-19 19:49:35+00:00,0
